"Year"	"$ money of the day" "$ 2021"
1861	0.49	14.06
1862	1.05	27.11
1863	3.15	65.94
1864	8.06	132.83
1865	6.59	110.97
1866	3.74	65.84
1867	2.41	44.45
1868	3.63	70.29
1869	3.64	70.49
1870	3.86	78.68
1871	4.34	93.38
1872	3.64	78.32
1873	1.83	39.37
1874	1.17	26.65
1875	1.35	31.69
1876	2.56	61.97
1877	2.42	58.58
1878	1.19	31.78
1879	0.86	23.79
1880	0.95	25.37
1881	0.86	22.97
1882	0.78	20.83
1883	1.00	27.66
1884	0.84	24.10
1885	0.88	25.25
1886	0.71	20.37
1887	0.67	19.22
1888	0.88	25.25
1889	0.94	26.97
1890	0.87	24.96
1891	0.67	19.22
1892	0.56	16.07
1893	0.64	18.36
1894	0.84	25.03
1895	1.36	42.14
1896	1.18	36.56
1897	0.79	24.48
1898	0.91	28.19
1899	1.29	39.97
1900	1.19	36.87
1901	0.96	29.74
1902	0.80	23.83
1903	0.94	26.97
1904	0.86	24.67
1905	0.62	17.79
1906	0.73	20.94
1907	0.72	19.92
1908	0.72	20.66
1909	0.70	20.08
1910	0.61	16.87
1911	0.61	16.87
1912	0.74	19.77
1913	0.95	24.78
1914	0.81	20.84
1915	0.64	16.30
1916	1.10	26.06
1917	1.56	31.46
1918	1.98	34.00
1919	2.01	30.06
1920	3.07	39.64
1921	1.73	25.01
1922	1.61	24.84
1923	1.34	20.31
1924	1.43	21.63
1925	1.68	24.79
1926	1.88	27.48
1927	1.30	19.36
1928	1.17	17.66
1929	1.27	19.17
1930	1.19	18.44
1931	0.65	11.04
1932	0.87	16.48
1933	0.67	13.37
1934	1.00	19.32
1935	0.97	18.28
1936	1.09	20.35
1937	1.18	21.26
1938	1.13	20.74
1939	1.02	18.99
1940	1.02	18.81
1941	1.14	20.03
1942	1.19	18.89
1943	1.20	17.95
1944	1.21	17.79
1945	1.05	15.09
1946	1.12	14.83
1947	1.90	22.00
1948	1.99	21.38
1949	1.78	19.32
1950	1.71	18.37
1951	1.71	17.02
1952	1.71	16.66
1953	1.93	18.66
1954	1.93	18.57
1955	1.93	18.64
1956	1.93	18.37
1957	1.90	17.45
1958	2.08	18.61
1959	2.08	18.45
1960	1.90	16.59
1961	1.80	15.56
1962	1.80	15.39
1963	1.80	15.21
1964	1.80	15.00
1965	1.80	14.75
1966	1.80	14.35
1967	1.80	13.94
1968	1.80	13.38
1969	1.80	12.70
1970	1.80	11.99
1971	2.24	14.30
1972	2.48	15.35
1973	3.29	19.17
1974	11.58	60.81
1975	11.53	55.47
1976	12.80	58.21
1977	13.92	59.41
1978	14.02	55.65
1979	31.61	112.69
1980	36.83	115.68
1981	35.93	102.30
1982	32.97	88.42
1983	29.55	76.79
1984	28.78	71.69
1985	27.56	66.29
1986	14.43	34.08
1987	18.44	42.00
1988	14.92	32.65
1989	18.23	38.04
1990	23.73	46.98
1991	20.00	38.01
1992	19.32	35.64
1993	16.97	30.40
1994	15.82	27.62
1995	17.02	28.90
1996	20.67	34.09
1997	19.09	30.79
1998	12.72	20.19
1999	17.97	27.92
2000	28.50	42.83
2001	24.44	35.72
2002	25.02	36.00
2003	28.83	40.55
2004	38.27	52.43
2005	54.52	72.25
2006	65.14	83.63
2007	72.39	90.36
2008	97.26	116.91
2009	61.67	74.40
2010	79.50	94.35
2011	111.26	128.01
2012	111.67	125.88
2013	108.66	120.72
2014	98.95	108.17
2015	52.39	57.20
2016	43.73	47.16
2017	54.19	57.22
2018	71.31	73.50
2019	64.21	65.00
2020	41.84	43.80
2021	70.91	70.91
